Source,Article,Comma number,Comma content
c.p.p.,Art. 1,1.,1. La giurisdizione penale è esercitata dai giudici previsti dalle leggi di ordinamento giudiziario secondo le norme di questo codice.
c.p.p.,Art. 2,1.,"1. Il giudice penale risolve ogni questione da cui dipende la decisione, salvo che sia diversamente stabilito."
c.p.p.,Art. 2,2.,"2. La decisione del giudice penale che risolve incidentalmente una questione civile, amministrativa o penale non ha efficacia vincolante in nessun altro processo."
c.p.p.,Art. 3,1.,"1. Quando la decisione dipende dalla risoluzione di una controversia sullo stato di famiglia o di cittadinanza, il giudice, se la questione è seria e se l'azione a norma delle leggi civili è già in corso, può sospendere il processo fino al passaggio in giudicato della sentenza che definisce la questione."
c.p.p.,Art. 3,2.,2. La sospensione è disposta con ordinanza soggetta a ricorso per cassazione. La corte decide in camera di consiglio.
c.p.p.,Art. 3,3.,3. La sospensione del processo non impedisce il compimento degli atti urgenti.
c.p.p.,Art. 3,4.,4. La sentenza irrevocabile del giudice civile che ha deciso una questione sullo stato di famiglia o di cittadinanza ha efficacia di giudicato nel procedimento penale.
c.p.p.,Art. 4,1.,"1. Per determinare la competenza si ha riguardo alla pena stabilita dalla legge per ciascun reato consumato o tentato. Non si tiene conto della continuazione, della recidiva e delle circostanze del reato, fatta eccezione delle circostanze aggravanti per le quali la legge stabilisce una pena di specie diversa da quella ordinaria del reato e di quelle ad effetto speciale."
c.p.p.,Art. 5,1.,"1. La corte di assise è competente:
((a) per i delitti per i quali la legge stabilisce la pena dell'ergastolo o della reclusione non inferiore nel massimo a ventiquattro anni, esclusi i delitti, comunque aggravati, di tentato omicidio, di rapina, di estorsione e di associazioni di tipo mafioso anche straniere, e i delitti, comunque aggravati, previsti dal
decreto del Presidente della Repubblica 9 ottobre 1990, n. 309));
b) per i delitti consumati previsti dagli articoli 579, 580, 584 del codice penale;
c) per ogni delitto doloso se dal fatto è derivata la morte di una o più persone, escluse le ipotesi previste dagli articoli 586, 588 e 593 del codice penale.
d) per i delitti previsti dalle leggi di attuazione della XII disposizione finale della Costituzione, dalla legge 9 ottobre 1967 n.
962 e nel titolo I del libro II del codice penale, sempre che per tali delitti sia stabilita la pena della reclusione non inferiore nel
massimo a dieci anni.
((d-bis) per i delitti consumati o tentati di cui agli articoli 416, sesto comma, 600, 601, 602 del codice penale, nonché per i delitti con finalità di terrorismo sempre che per tali delitti sia stabilita la pena della reclusione non inferiore nel massimo a dieci anni)). ((176))"
c.p.p.,Art. 6,1.,1. Il tribunale è competente per i reati che non appartengono alla competenza della corte di assise ((o del giudice di pace)). (90) (90a) ((114))
c.p.p.,Art. 8,1.,1. La competenza per territorio è determinata dal luogo in cui il reato è stato consumato.
c.p.p.,Art. 8,2.,"2. Se si tratta di fatto dal quale è derivata la morte di una o più persone, è competente il giudice del luogo in cui è avvenuta l'azione o l'omissione."
c.p.p.,Art. 8,3.,"3. Se si tratta di reato permanente, è competente il giudice del luogo in cui ha avuto inizio la consumazione, anche se dal fatto è derivata la morte di una o più persone."
c.p.p.,Art. 8,4.,"4. Se si tratta di delitto tentato, è competente il giudice del luogo in cui è stato compiuto l'ultimo atto diretto a commettere il delitto."
c.p.p.,Art. 9,1.,"1. Se la competenza non può essere determinata a norma dell'articolo 8, è competente il giudice dell'ultimo luogo in cui è avvenuta una parte dell'azione o dell'omissione."
c.p.p.,Art. 9,2.,"2. Se non è noto il luogo indicato nel comma 1, la competenza appartiene successivamente al giudice della residenza, della dimora o del domicilio dell'imputato."
c.p.p.,Art. 9,3.,"3. Se nemmeno in tale modo è possibile determinare la competenza, questa appartiene al giudice del luogo in cui ha sede l'ufficio del pubblico ministero che ha provveduto per primo a iscrivere la notizia di reato nel registro previsto dall'articolo 335."
c.p.p.,Art. 10,1.,"1. Se il reato è stato commesso interamente all'estero, la competenza è determinata successivamente dal luogo della residenza, della dimora, del domicilio, dell'arresto o della consegna dell'imputato. Nel caso di pluralità di imputati, procede il giudice competente per il maggior numero di essi."
c.p.p.,Art. 10,1-bis.,"1-bis. Se il reato è stato commesso a danno del cittadino e non sussistono i casi previsti dagli articoli 12 e 371, comma 2, lettera b), la competenza è del tribunale o della corte di assise di Roma quando non è possibile determinarla nei modi indicati nel comma 1."
c.p.p.,Art. 10,2.,"2. ((In tutti gli altri casi, se)) non è possibile determinare nei modi indicati ((nei commi 1 e 1-bis)) la competenza, questa appartiene al giudice del luogo in cui ha sede l'ufficio del pubblico ministero che ha provveduto per primo a iscrivere la notizia di reato nel registro previsto dall'articolo 335. ((235))"
