law_source,law_text,law_number,law_year
c.p.,"Art. 2  Un esemplare del suddetto testo definitivo del codice penale, firmato da Noi e contrassegnato dal Nostro Ministro Segretario di Stato per la giustizia e gli affari di culto, servirà di originale e sarà depositato e custodito nell'Archivio del Regno. ",2,
c.p.,"  Nessuno può essere punito per un fatto che non sia espressamente preveduto come reato dalla legge, né con pene che non siano da essa stabilite. ",art. 1,
c.p.,"  Nessuno può essere punito per un fatto che, secondo la legge del tempo in cui fu commesso, non costituiva reato.  Nessuno può essere punito per un fatto che, secondo una legge posteriore, non costituisce reato; e, se vi è stata condanna, ne cessano l'esecuzione e gli effetti penali. Se vi è stata condanna a pena detentiva e la legge posteriore prevede esclusivamente la pena pecuniaria, la pena detentiva inflitta si converte immediatamente nella corrispondente pena pecuniaria, ai sensi dell'articolo 135.  Se la legge del tempo in cui fu commesso il reato e le posteriori sono diverse, si applica quella le cui disposizioni sono più favorevoli al reo, salvo che sia stata pronunciata sentenza irrevocabile.  Se si tratta di leggi eccezionali o temporanee, non si applicano le disposizioni dei capoversi precedenti.  Le disposizioni di questo articolo si applicano altresì nei casi di decadenza e di mancata ratifica di un decreto-legge e nel caso di un decreto-legge convertito in legge con emendamenti.(103) -------------AGGIORNAMENTO (103) La Corte Costituzionale, con sentenza 19-22 febbraio 1985, n. 51 (in G.U. 1ª s.s. 27/02/1985, n. 50), ha dichiarato ""l'illegittimità costituzionale dell'art. 2, comma quinto, c.p. nella parte in cui rende applicabili alle ipotesi da esso previste le disposizioni contenute nei Commi secondo e terzo dello stesso art. 2 c.p."". ",art. 2,
c.p.,"  Nessuno può essere punito per un fatto che non sia espressamente preveduto come reato dalla legge, né con pene che non siano da essa stabilite. ",art. 3,
c.p.,"Art. 3  La pubblicazione del predetto codice si eseguirà col trasmetterne un esemplare stampato a ciascuno dei Comuni del Regno, per essere depositato nella sala comunale, e tenuto ivi esposto, durante un mese successivo, per sei ore in ciascun giorno, affinchè ognuno possa prenderne cognizione.   Ordiniamo che il presente decreto, munito del sigillo dello Stato, sia inserto nella raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare.   Dato a S. Rossore, addì 19 ottobre 1930 - Anno VIII   VITTORIO EMANUELE   Mussolini - Rocco.  Visto, il Guardasigilli: Rocco.  Registrato alla Corte dei conti, addì 22 ottobre 1930-VIIII  Atti del Governo, registro 301, foglio 58. - Mancini. ",art. 3 bis,
c.p.,"  Agli effetti della legge penale, sono considerati cittadini italiani i cittadini delle colonie, i sudditi coloniali, gli appartenenti per origine o per elezione ai luoghi soggetti alla sovranità dello Stato e gli apolidi residenti nel territorio dello Stato.  Agli effetti della legge penale, è territorio dello Stato il territorio del Regno, quello delle colonie e ogni altro luogo soggetto alla sovranità dello Stato. Le navi e gli aeromobili italiani sono considerati come territorio dello Stato, ovunque si trovino, salvo che siano soggetti, secondo il diritto internazionale, a una legge territoriale straniera. ",art. 4,
c.p.,"  Nessuno può invocare a propria scusa l'ignoranza della legge penale.109--------------AGGIORNAMENTO (109) La Corte Costituzionale con sentenza 23-24 marzo 1988, n. 364 (in G.U. 1ª s.s. 30/03/1988, n. 13) ha dichiarato ""l'illegittimità costituzionale dell'art. 5 c.p. nella parte in cui non esclude dall'inescusabilità dell'ignoranza della legge penale l'ignoranza inevitabile"". ",art. 5,
c.p.,"  Agli effetti della legge penale, sono considerati cittadini italiani i cittadini delle colonie, i sudditi coloniali, gli appartenenti per origine o per elezione ai luoghi soggetti alla sovranità dello Stato e gli apolidi residenti nel territorio dello Stato.  Agli effetti della legge penale, è territorio dello Stato il territorio del Regno, quello delle colonie e ogni altro luogo soggetto alla sovranità dello Stato. Le navi e gli aeromobili italiani sono considerati come territorio dello Stato, ovunque si trovino, salvo che siano soggetti, secondo il diritto internazionale, a una legge territoriale straniera. ",art. 6,
c.p.,"  È punito secondo la legge italiana il cittadino o lo straniero che commette in territorio estero taluno dei seguenti reati:  1° delitti contro la personalità dello Stato italiano;  2° delitti di contraffazione del sigillo dello Stato e di uso di tale sigillo contraffatto;  3° delitti di falsità in monete aventi corso legale nel territorio dello Stato, o in valori di bollo o in carte di pubblico credito italiano;  4° delitti commessi da pubblici ufficiali a servizio dello Stato, abusando dei poteri o violando i doveri inerenti alle loro funzioni;   5° ogni altro reato per il quale speciali disposizioni di legge o convenzioni internazionali stabiliscono l'applicabilità della legge penale italiana. ",art. 7,
c.p.,"  Il cittadino o lo straniero, che commette in territorio estero un delitto politico non compreso tra quelli indicati nel numero 1° dell'articolo precedente, è punito secondo la legge italiana, a richiesta del Ministro della giustizia.  Se si tratta di delitto punibile a querela della persona offesa, occorre, oltre tale richiesta, anche la querela.(158) 159  Agli effetti della legge penale, è delitto politico ogni delitto, che offende un interesse politico dello Stato, ovvero un diritto politico del cittadino. È altresì considerato delitto politico il delitto comune determinato, in tutto o in parte, da motivi politici.  (18) (24) --------------AGGIORNAMENTO (18) Il D.P.R. 19 dicembre 1953, n. 922 ha disposto (con l'art. 2, comma 1, lettera a)) che ""È concesso indulto:  a) per i seguenti reati commessi dall'8 settembre 1943 al 18 giugno 1946: reati politici, ai sensi dell'art. 8 del Codice penale, e i reati connessi; nonché i reati inerenti a fatti bellici, commessi da coloro che abbiano appartenuto a formazioni armate"". --------------AGGIORNAMENTO (24) Il D.P.R. 11 luglio 1959, n. 460 ha disposto (con l'art. 1, comma 1, lettere a) e b)) che ""È concessa amnistia:  a) per i reati politici ai sensi dell'art. 8 del Codice penale, commessi dal 25 luglio 1943 al 18 giugno 1946;  b) per i reati politici ai sensi dell'art. 8 del Codice penale, nonché per i reati elettorali, commessi successivamente ai 18 giugno 1946 e punibili con pena detentiva non superiore nel massimo a quattro anni, ovvero con pena pecuniaria sola o congiunta a detta pena"".  Ha inoltre disposto (con l'art. 15, comma 1) che l'amnistia concessa dall'art. 1, comma 1, lettera b) del D.P.R. 11 luglio 1959, n. 460 ha efficacia a tutto il 23 ottobre 1958. --------------AGGIORNAMENTO (158) La Corte Costituzionale con sentenza 26 marzo - 6 aprile 1998, n. 98 (in G.U. 1ª s.s. 15/04/1998, n. 15) ha dichiarato ""l'illegittimità costituzionale dell'art. 8, secondo comma, del codice penale, nella parte in cui non prevede la non trasmissibilità agli eredi dell'obbligo di rimborsare le spese del processo penale"". --------------AGGIORNAMENTO (159) La Corte Costituzionale, con sentenza 26 marzo - 6 aprile 1998, n. 98 (in G.U. 1ª s.s. 15/04/1998, n. 15) come modificata dall'errata corrige in G.U. 1ª s.s. 13/05/1998, n. 19, non prevede più l'illegittimità costituzionale del presente articolo. ",art. 8,
