Dlgs,Article,Comma number,Comma content
82/2005,Art. 1,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Ai fini del presente codice si intende per:  0a) AgID: l'Agenzia per l'Italia digitale di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2012-06-22;83~art19"" target=""_blank"">articolo 19 del decreto-legge 22 giugno 2012, n. 83</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2012-08-07;134"" target=""_blank"">legge 7 agosto 2012, n. 134</a>;  </div><div class=""pointedList-rest-akn"">a) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">b) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">c) carta d'identità elettronica: il documento d'identità munito di elementi per l'identificazione fisica del titolare rilasciato su supporto informatico dalle amministrazioni comunali con la prevalente finalità di dimostrare l'identità anagrafica del suo titolare; </div><div class=""pointedList-rest-akn"">d) carta nazionale dei servizi: il documento rilasciato su supporto informatico per consentire l'accesso per via telematica ai servizi erogati dalle pubbliche amministrazioni; </div><div class=""pointedList-rest-akn"">e) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">f) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">g) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">h) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">i) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  i-bis) copia informatica di documento analogico: il documento informatico avente contenuto identico a quello del documento analogico da cui è tratto;  i-ter) copia per immagine su supporto informatico di documento analogico: il documento informatico avente contenuto e forma identici a quelli del documento analogico da cui è tratto;  i-quater) copia informatica di documento informatico: il documento informatico avente contenuto identico a quello del documento da cui è tratto su supporto informatico con diversa sequenza di valori binari;  i-quinquies) duplicato informatico: il documento informatico ottenuto mediante la memorizzazione, sullo stesso dispositivo o su dispositivi diversi, della medesima sequenza di valori binari del documento originario;  i-sexies) dati territoriali: i dati che attengono, direttamente o indirettamente, a una località o a un'area geografica specifica; </div><div class=""pointedList-rest-akn"">l) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  l-bis) formato aperto: un formato di dati reso pubblico, documentato esaustivamente e neutro rispetto agli strumenti tecnologici necessari per la fruizione dei dati stessi;  l-ter) dati di tipo aperto: i dati che presentano le seguenti caratteristiche: 1) sono disponibili secondo i termini di una licenza o di una previsione normativa che ne permetta l'utilizzo da parte di chiunque, anche per finalità commerciali, in formato disaggregato;2) sono accessibili attraverso le tecnologie dell'informazione e della comunicazione, ivi comprese le reti telematiche pubbliche e private, in formati aperti ai sensi della lettera l-bis), sono adatti all'utilizzo automatico da parte di programmi per elaboratori e sono provvisti dei relativi metadati; 3) sono resi disponibili gratuitamente attraverso le tecnologie dell'informazione e della comunicazione, ivi comprese le reti telematiche pubbliche e private, oppure sono resi disponibili ai costi marginali sostenuti per la loro riproduzione e divulgazione salvo quanto previsto dall'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36~art7"" target=""_blank"">articolo 7 del decreto legislativo 24 gennaio 2006, n. 36</a>;</div><div class=""pointedList-rest-akn"">m) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">n) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  n-bis) Riutilizzo: uso del dato di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36~art2-com1-lete"" target=""_blank"">articolo 2, comma 1, lettera e), del decreto legislativo 24 gennaio 2006, n. 36</a>;  n-ter) domicilio digitale: un indirizzo elettronico eletto presso un servizio di posta elettronica certificata o un servizio elettronico di recapito certificato qualificato, come definito dal <a href=""http://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32014R0910"" target=""_blank"">regolamento (UE) 23 luglio 2014 n. 910 del Parlamento europeo e del Consiglio</a> in materia di identificazione elettronica e servizi fiduciari per le transazioni elettroniche nel mercato interno e che abroga la <a href=""http://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:31999L0093"" target=""_blank"">direttiva 1999/93/CE</a>, di seguito ""Regolamento eIDAS"",valido ai fini delle comunicazioni elettroniche aventi valore legale;n-quater) servizio in rete o on-line: qualsiasi servizio di una amministrazione pubblica fruibile a distanza per via elettronica;</div><div class=""pointedList-rest-akn"">o) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">p) documento informatico: il documento elettronico che contiene la rappresentazione informatica di atti, fatti o dati giuridicamente rilevanti;  p-bis) documento analogico: la rappresentazione non informatica di atti, fatti o dati giuridicamente rilevanti; </div><div class=""pointedList-rest-akn"">q) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  q-bis) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">r) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">s) firma digitale: un particolare tipo di firma qualificata basata su un su un sistema di chiavi crittografiche, una pubblica e una privata, correlate tra loro, che consente al titolare di firma elettronica tramite la chiave privata e a un soggetto terzo tramite la chiave pubblica, rispettivamente, di rendere manifesta e di verificare la provenienza e l'integrità di un documento informatico o di un insieme di documenti informatici; </div><div class=""pointedList-rest-akn"">t) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">u) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  u-bis) gestore di posta elettronica certificata: il soggetto che presta servizi di trasmissione dei documenti informatici mediante la posta elettronica certificata;  u-ter)LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>;  u-quater) identità digitale: la rappresentazione informatica della corrispondenza tra un utente e i suoi attributi identificativi, verificata attraverso l'insieme dei dati raccolti e registrati in forma digitale secondo le modalità fissate nel decreto attuativo dell'articolo 64; </div><div class=""pointedList-rest-akn"">v) originali non unici: i documenti per i quali sia possibile risalire al loro contenuto attraverso altre scritture o documenti di cui sia obbligatoria la conservazione, anche se in possesso di terzi;  v-bis) posta elettronica certificata: sistema di comunicazione in grado di attestare l'invio e l'avvenuta consegna di un messaggio di posta elettronica e di fornire ricevute opponibili ai terzi; </div><div class=""pointedList-rest-akn"">z) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">aa) titolare di firma elettronica: la persona fisica cui è attribuita la firma elettronica e che ha accesso ai dispositivi per la sua creazione nonché alle applicazioni per la sua apposizione della firma elettronica; </div><div class=""pointedList-rest-akn"">bb) LETTERA SOPPRESSA DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>; </div><div class=""pointedList-rest-akn"">cc) titolare del dato: uno dei soggetti di cui all'articolo 2, comma 2, che ha originariamente formato per uso proprio o commissionato ad altro soggetto il documento che rappresenta il dato, o che ne ha la disponibilità; </div><div class=""pointedList-rest-akn"">dd) interoperabilità: caratteristica di un sistema informativo, le cui interfacce sono pubbliche e aperte, di interagire in maniera automatica con altri sistemi informativi per lo scambio di informazioni e l'erogazione di servizi; </div><div class=""pointedList-rest-akn"">ee) cooperazione applicativa: la parte del Sistema Pubblico di Connettività finalizzata all'interazione tra i sistemi informatici dei soggetti partecipanti, per garantire l'integrazione dei metadati, delle informazioni, dei processi e procedimenti amministrativi.)) </div><div class=""ins-akn"" eid=""ins_9""><div class=""pointedList-rest-akn"">((</div><div class=""pointedList-rest-akn"">ff) Linee guida: le regole tecniche e di indirizzo adottate secondo il procedimento di cui all'articolo 71.</div><div class=""pointedList-rest-akn""></div></div></div>"
82/2005,Art. 1,1-bis.,"Ai fini del presente Codice, valgono le definizioni di cui all'articolo 3 del Regolamento eIDAS;"
82/2005,Art. 1,1-ter.,"Ove la legge consente l'utilizzo della posta elettronica certificata è ammesso anche l'utilizzo di altro servizio elettronico di recapito certificato qualificato ai sensi degli articoli 3, numero 37), e 44 del Regolamento eIDAS."
82/2005,Art. 2,1.,"Lo Stato, le Regioni e le autonomie locali assicurano la disponibilità, la gestione, l'accesso, la trasmissione, la conservazione e la fruibilità dell'informazione in modalità digitale e si organizzano ed agiscono a tale fine utilizzando con le modalità più appropriate e nel modo più adeguato al soddisfacimento degli interessi degli utenti le tecnologie dell'informazione e della comunicazione."
82/2005,Art. 2,2.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">2. </span>Le disposizioni del presente Codice si applicano:  </div><div class=""pointedList-rest-akn"">a) alle pubbliche amministrazioni di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2001-03-30;165~art1-com2"" target=""_blank"">articolo 1, comma 2, del decreto legislativo 30 marzo 2001, n. 165</a>, nel rispetto del riparto di competenza di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:costituzione:1947-12-27~art117"" target=""_blank"">articolo 117 della Costituzione</a>, ivi comprese le autorità di sistema portuale, nonché alle autorità amministrative indipendenti di garanzia, vigilanza e regolazione; </div><div class=""pointedList-rest-akn"">b) ai gestori di servizi pubblici, ivi comprese le società quotate, in relazione ai servizi di pubblico interesse; </div><div class=""pointedList-rest-akn"">c) alle società a controllo pubblico, come definite nel <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-19;175"" target=""_blank"">decreto legislativo 19 agosto 2016, n. 175</a>, escluse le società quotate di cui all'articolo 2, comma 1, lettera p), del medesimo decreto che non rientrino nella categoria di cui alla lettera b). </div></div></div>"
82/2005,Art. 2,2-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 2,3.,"Le disposizioni del presente Codice e le relative Linee guida concernenti il documento informatico, le firme elettroniche e i servizi fiduciari di cui al Capo II, la riproduzione e conservazione dei documenti di cui agli articoli 43 e 44, il domicilio digitale e le comunicazioni elettroniche di cui all'articolo"
82/2005,Art. 2,3-bis,"e al Capo IV, l'identità digitale di cui agli articoli 3-bis e 64 si applicano anche ai privati, ove non diversamente previsto."
82/2005,Art. 2,4.,"Le disposizioni di cui al capo V, concernenti l'accesso ai documenti informatici e la fruibilità delle informazioni digitali, si applicano anche ... agli organismi di diritto pubblico."
82/2005,Art. 2,5.,"Le disposizioni del presente Codice si applicano nel rispetto della disciplina in materia di trattamento dei dati personali e, in particolare, delle disposizioni del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2003-06-30;196"" target=""_blank"">Codice in materia di protezione dei dati personali</a> approvato con <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2003-06-30;196"" target=""_blank"">decreto legislativo 30 giugno 2003, n. 196</a>;"
