Question,Answer 1,Answer 2,Answer 3
Ai sensi dell'art. 240 c.p. Ã¨ sempre ordinata la confisca:,"dei beni che costituiscono il profitto del reato o il prodotto ovvero di somme di denaro, beni o altre utilitÃ  di cui il colpevole ha la disponibilitÃ  per un valore corrispondente a tale profitto o prodotto, se non Ã¨ possibile eseguire la confisca del profitto o del prodotto diretti",dei servizi e degli strumenti informatici o documentali che risultino essere stati in tutto o in parte utilizzati per lo spionaggio della procura,delle cose che costituiscono il movente del reato
"Ai sensi dell'art. 266 c.p. Ã¨ punito, se il fatto non costituisce un piÃ¹ grave delitto, con la reclusione da uno a tre anni, chiunque:",fa a militari l'apologia di fatti contrari al giuramento,istiga gli incaricati di pubblico servizio a violare i doveri della disciplina pubblica,istiga i funzionari pubblici a disobbedire ai regolamenti
La pena della multa ex art. 24 c.p. consiste nel pagamento allo Stato di una somma:,non inferiore a euro 50 nÃ© superiore a euro 50.000,non inferiore a euro 10 nÃ© superiore a euro 500.000,non inferiore a euro 25 nÃ© superiore a euro 20.000
Ai sensi dell'art. 7 c.p. Ã¨ punito secondo la legge italiana il cittadino o lo straniero che commette in territorio estero quale dei seguenti reati?,"Delitti commessi da pubblici ufficiali a servizio dello Stato, abusando dei poteri o violando i doveri inerenti alle loro funzioni",Delitti contro la personalitÃ  del Presidente della Repubblica,Delitti di contraffazione della marchiatura dello Stato e di uso di tale elemento contraffatto
Tra le pene accessorie per i delitti ex art. 19 c.p. troviamo:,la decadenza o la sospensione dall'esercizio della responsabilitÃ  genitoriale,l'estinzione del rapporto di impiego subordinato o somministrato,l'inabilitazione dagli uffici direttivi delle persone giuridiche e delle associazioni
La pena della reclusione ex art. 23 c.p. si estende da:,"quindici giorni a ventiquattro anni, ed Ã¨ scontata in uno degli stabilimenti a ciÃ² destinati","venti giorni a ventiquattro anni, ed Ã¨ scontata in una delle case circondariali a ciÃ² destinati","dieci giorni a ventisei anni, ed Ã¨ scontata in una dei centri di detenzione a ciÃ² destinati"
La pena dell'ammenda consiste nel pagamento allo Stato di una somma:,non inferiore a euro 20 nÃ© superiore a euro 10.000,non inferiore a euro 15 nÃ© superiore a euro 5.000,non inferiore a euro 10 nÃ© superiore a euro 20.000
"L'interdizione perpetua dai pubblici uffici, salvo che dalla legge sia altrimenti disposto, di cosa priva il condannato ex art. 28 c.p.?","dei gradi e delle dignitÃ  accademiche, dei titoli, delle decorazioni o di altre pubbliche insegne onorifiche","dell'ufficio di tutore o di curatore, purchÃ¨ definitivo, e di ogni altro ufficio attinente alla tutela o alla cura","di ogni riconoscimento onorifico, inerente a qualunque degli uffici, servizi, gradi o titoli e delle inerenti qualitÃ , araldiche e sigilli"
L'interdizione dai pubblici uffici per la durata di anni cinque Ã¨ conseguente ex art. 29 c.p.:,alla condanna alla reclusione per un tempo non inferiore a tre anni,alla condanna alla reclusione per un tempo non inferiore a un anno,alla condanna alla reclusione per un tempo non inferiore a sei mesi
L'interdizione da una professione o da un'arte non puÃ² avere:,"una durata inferiore a un mese, nÃ¨ superiore a cinque anni, salvi i casi espressamente stabiliti dalla legge","una durata inferiore a tre mesi, nÃ¨ superiore a cinque anni, salvi i casi espressamente stabiliti dalla legge","una durata inferiore a sei mesi, nÃ¨ superiore a tre anni, salvi i casi espressamente stabiliti dalla legge"
"Ai sensi dell'art. 31 c.p. l'interdizione temporanea dai pubblici uffici o dalla professione, arte, industria, o dal commercio o mestiere Ã¨ conseguente:",a ogni condanna per delitti commessi con la violazione dei doveri inerenti ad un pubblico servizio,a ogni condanna per delitti commessi con l'abuso di potestÃ ,"a ogni condanna per delitti commessi con la sostituzione di una professione, arte, industria"
"L'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese priva il condannato ex art. 32-bis c.p. della capacitÃ  di esercitare, durante l'interdizione, l'ufficio di:",tutte le risposte indicate,liquidatore,direttore generale
"L'incapacitÃ  di contrattare con la pubblica amministrazione importa il divieto di concludere contratti con la pubblica amministrazione, salvo che per ottenere ex art. 32-ter c.p.:",le prestazioni di un pubblico servizio,la partecipazione a gare d'appalto che si tengono oltre il periodo di termine della misura,la riscossione dei crediti esigibili dovuti dalla P.A.
L'errore sul fatto che costituisce un determinato reato ex art. 47 c.p. non esclude:,la punibilitÃ  per un reato diverso,"la punibilitÃ  quando, per un errore determinato da dolo, il fatto Ã¨ preveduto dalla legge come delitto colposo","la punibilitÃ  di chi ha commesso il fatto per esservi stato costretto da coniuge, parente o affine fino al 2Â° grado pur potendo sottrarsi"
Ai sensi dell'art. 51 c.p. se un fatto costituente reato Ã¨ commesso per ordine dell'AutoritÃ :,del reato risponde sempre il pubblico ufficiale che ha dato l'ordine,del reato risponde il pubblico ufficiale che ha dato l'ordine e gli altri ufficiali o incaricati di pubblico servizio che hanno assistito o partecipato in maniera attiva o omissiva,del reato risponde il pubblico ufficiale che ha dato l'ordine e il suo superiore
Il colpevole di delitto tentato Ã¨ punito ex art. 56 c.p.:,"con la reclusione non inferiore a dodici anni, se la pena stabilita Ã¨ l'ergastolo","se la pena stabilita non Ã¨ l'ergastolo, con la pena stabilita per il delitto diminuita di un terzo","se la pena stabilita non Ã¨ l'ergastolo, con la pena stabilita per il delitto diminuita della metÃ "
Ai sensi dell'art. 59 c.p. le circostanze che aggravano la pena sono valutate a carico dell'agente:,soltanto se da lui conosciute ovvero ignorate per colpa o ritenute inesistenti per errore determinato da colpa,anche se da lui conosciute ovvero ignorate per forza maggiore o caso fortuito,anche se da lui ignorate ovvero ignorate per colpa o ritenute inesistenti per errore determinato da atti di terzi
Quale delle seguenti circostanze aggrava il reato ex art. 61 c.p.?,"l'avere profittato di circostanze di tempo, di luogo o di persona, anche in riferimento all'etÃ , tali da ostacolare la pubblica o privata difesa","l'avere, nei delitti dolosi, agito nonostante la previsione dell'evento","l'avere il colpevole commesso il reato durante il tempo, in cui si Ã¨ sottratto anche involontariamente alla esecuzione di un mandato di comparizione o perquisizione"
Quale delle seguenti circostanze attenua il reato ex art. 62 c.p.?,"l'avere, nei delitti contro il patrimonio, cagionato alla persona offesa dal reato un danno patrimoniale di speciale tenuitÃ ",l'avere agito per motivi di particolare valore culturale o religioso,l'avere agito per suggestione di un capo religioso o politico
"Quando ricorre una circostanza attenuante, e non Ã¨ dalla legge determinata la diminuzione di pena, ex art. 65 c.p.:",le altre pene sono diminuite in misura non eccedente un terzo,alla pena dell'ergastolo Ã¨ sostituita la reclusione da venti a ventidue anni,le altre pene sono diminuite in misura non eccedente due terzi
Agli effetti della legge penale tra le circostanze oggettive ex art. 70 c.p. quale di questi elementi Ã¨ compreso?,QualitÃ  personali dell'offeso,IntensitÃ  del dolo,QualitÃ  personali del colpevole
"Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, puÃ² essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo. La pena ex art. 99 c.p. puÃ² essere aumentata fino alla metÃ :",se il nuovo delitto non colposo Ã¨ stato commesso nei cinque anni dalla condanna precedente,se il nuovo delitto non doloso Ã¨ della stessa indole,se il nuovo delitto non colposo Ã¨ stato commesso durante o dopo l'esecuzione delle misure cautelari
PuÃ² essere dichiarato contravventore abituale ex art. 104 c.p.:,"chi, dopo essere stato condannato alla pena dell'arresto per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione","chi, dopo essere stato condannato alla pena dell'arresto o ammenda per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione o delitto","chi, dopo essere stato condannato alla pena dell'arresto per due contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione o delitto"
La dichiarazione di abitualitÃ  o di professionalitÃ  nel reato puÃ² essere pronunciata ex art. 109 c.p.:,"in ogni tempo, anche dopo la esecuzione della pena",entro 60 giorni dopo la esecuzione della pena,fino alla esecuzione della pena
La dichiarazione di abitualitÃ  e professionalitÃ  nel reato e quella di tendenza a delinquere si estinguono ex art. 109 c.p. per effetto:,della riabilitazione,del perdono giudiziale,della oblazione
La pena da infliggere per il reato commesso Ã¨ aumentata ex art. 112 c.p.:,"se il numero delle persone, che sono concorse nel reato, Ã¨ di cinque o piÃ¹, salvo che la legge disponga altrimenti","per chi, nell'esercizio della sua potestÃ , tutela o curatela ha determinato a commettere il reato collaboratori e dipendenti",per chi ha promosso od organizzato l'associazione di condotte colpose nel reato
Il diritto di querela ex art. 120 c.p. Ã¨ esercitato dal genitore o dal tutore:,per i minori degli anni quattordici,per i minori degli anni sedici,per gli interdetti a cagione d'infermitÃ  fisica e mentale
L'offesa ex art. 131-bis c.p. non puÃ² essere ritenuta di particolare tenuitÃ  quando:,"si procede per delitti, puniti con una pena superiore nel massimo a due anni e sei mesi di reclusione, commessi in occasione o a causa di manifestazioni sportive",l'autore ha agito per motivi abietti o futili a danno di siti forestali e protetti,l'autore ha profittato delle condizioni di minorata difesa dell'animale
"Il giudice, con la sentenza di condanna o con il decreto penale, puÃ² disporre, ex art. 133-ter c.p., in relazione alle condizioni economiche del condannato, che la multa o l'ammenda venga pagata:",in rate mensili da tre a trenta. Ciascuna rata tuttavia non puo' essere inferiore a euro 15,in rate mensili da tre a venti. Ciascuna rata tuttavia non puo' essere inferiore a euro 50,in rate mensili da sei a trenta. Ciascuna rata tuttavia non puo' essere inferiore a euro 20
"L'esecuzione di una pena, che non sia pecuniaria, Ã¨ differita ex art. 146 c.p.:",se deve aver luogo nei confronti di madre di infante di etÃ  inferiore ad anni uno,se deve aver luogo nei confronti di madre di infante di etÃ  inferiore a sei mesi,se deve aver luogo nei confronti di donna oltre il terzo mese di gradivanza
L'esecuzione di una pena puÃ² essere differita ex art. 147 c.p.:,se una pena restrittiva della libertÃ  personale deve essere eseguita nei confronti di madre di prole di etÃ  inferiore a tre anni,se Ã¨ presentata domanda di amnistia o indulto,se una pena restrittiva della libertÃ  personale deve essere eseguita contro chi si trova in condizioni di grave inabilitÃ  psichica
La prescrizione ex art. 157 c.p. estingue il reato decorso il tempo corrispondente al massimo della pena edittale stabilita dalla legge e comunque un tempo non inferiore:  ,"a sei anni se si tratta di delitto e a quattro anni se si tratta di contravvenzione, ancorchÃ¨ puniti con la sola pena pecuniaria","a cinque anni se si tratta di delitto e a tre anni se si tratta di contravvenzione, ancorchÃ¨ puniti con la sola pena pecuniaria","a otto anni se si tratta di delitto e a quattro anni se si tratta di contravvenzione, ancorchÃ¨ puniti con la sola pena pecuniaria"
Il termine della prescrizione decorre ex art. 158 c.p. per il reato tentato dal giorno:,in cui Ã¨ cessata l'attivitÃ  del colpevole,della consumazione del reato,in cui Ã¨ iniziata l'azione criminosa
Con la domanda di oblazione il contravventore ex art. 162-bis c.p.:,deve depositare la somma corrispondente alla metÃ  del massimo dell'ammenda,deve depositare la somma corrispondente alla metÃ  della multa,deve depositare la somma corrispondente ad un terzo del massimo dell'ammenda
