Domanda,Risposta 1,Risposta 2,Risposta 3
"Dal punto di vista degli effetti, le autorizzazioni dispensative: ",Consentono ad un soggetto di non adempiere ad un obbligo cui sarebbe tenuto per legge. ,Permettono di esercitare facoltà preesistenti. ,Accertano l'esistenza dei presupposti richiesti dalla legge per esercitare una certa 
"Il Capo II della l. n. 241/1990 è riservato alla regolamentazione della figura del  responsabile del procedimento, ovvero del  soggetto al quale è affidato il delicato ruolo di autorità di guida di ciascun procedimento  amministrativo. Esso: ","Accerta d'ufficio i fatti, disponendo il compimento degli atti all'uopo necessari. ",Non è mai competente alla valutazione della sussistenza dell'obbligo di provvedere. ,É solo competente all'indizione delle conferenze di servizi e a decidere avverso i 
"Con riferimento al riesame con esito demolitorio del provvedimento adottato, la revoca: ",Quanto a competenza a disporla spetta all'organo che ha emanato l'atto ovvero ad altro  previsto dalla legge. ,Non comparta in nessun caso l'obbligo di provvedere ad indennizzo ai soggetti che ne  hanno subito un pregiudizio. ,Quanto a competenza a disporla non spetta in nessun caso all'organo che ha emanato l'atto 
Ai sensi dell'art. 80 C.p.a. come avviene la prosecuzione del giudizio in caso di  sospensione? ,Deve essere presentata istanza di fissazione di udienza entro novanta giorni dalla  comunicazione dell'atto che fa venir meno la causa  della sospensione. ,Deve essere presentata istanza di fissazione di udienza entro sessanta giorni dalla  comunicazione dell'atto che fa venir meno la causa  della sospensione. ,Deve essere presentato nuovamente il ricorso entro sessanta giorni dalla sospensione. 
Entro quale termine le parti devono proporre ricorso incidentale nell'ambito del  processo amministrativo ai sensi dell'art.  42 C.p.a.? ,Nel termine di sessanta giorni decorrente dalla ricevuta notificazione del ricorso  principale. ,Nel termine di novanta giorni decorrente dalla ricevuta notificazione del ricorso  principale. ,Nel termine di centoventi giorni decorrente dalla ricevuta notificazione del ricorso 
Il termine del provvedimento amministrativo: ,È elemento accidentale che sottopone l'efficacia dell'atto o alcuni effetti al  verificarsi di un evento futuro e certo. ,È un elemento essenziale che indica il periodo di vigenza del provvedimento stesso. ,Attiene all'aspetto funzionale e allo scopo che il provvedimento persegue. 
"A norma di quanto dispone il Codice del processo amministrativo, a chi sono devolute,  salvo ulteriori previsioni di legge, le  controversie in materia di nullità del provvedimento amministrativo adottato in violazione o  elusione del giudicato? ",Giudice amministrativo. ,Giudice ordinario. ,Corte dei conti. 
"A norma di quanto dispone l'art. 133 del C.p.a., salvo ulteriori previsioni di legge, a  chi sono devolute le controversie aventi  ad oggetto i provvedimenti relativi alla disciplina o al divieto dell'esercizio d'industrie  insalubri o pericolose? ",Alla giurisdizione esclusiva del giudice amministrativo. ,Alla giurisdizione esclusiva del giudice ordinario. ,Alla giurisdizione esclusiva del TAR del Lazio. 
"Consacrando a livello costituzionale i principi di cui alla L. 59/1997, in quale delle seguenti materie l'art. 117 della  Costituzione attribuisce allo Stato potestà legislativa esclusiva? ","Moneta, tutela del risparmio e mercati finanziari. ",Tutela e sicurezza del lavoro. ,"Produzione, trasporto e distribuzione nazionale dell'energia. "
"L'art. 5 del D.Lgs. n. 33/2013, dispone che il procedimento di accesso civico deve  concludersi con provvedimento espresso e  motivato nel termine di: ",Trenta giorni dalla presentazione dell'istanza. ,Venti giorni dalla presentazione dell'istanza. ,Sessanta giorni dalla presentazione dell'istanza. 
