law_source,law_number,reference_id,question_plh,law_text,year,question,answer_1,answer_2,answer_3
c.p.,240,224.0,Ai sensi dell'{PLH}Ã¨ sempre ordinata la confisca:,"(Confisca)  Nel caso di condanna, il giudice può ordinare la confisca delle cose che servirono o furono destinate a commettere il reato, e delle cose che ne sono il prodotto o il profitto.  È sempre ordinata la confisca:  1° delle cose che costituiscono il prezzo del reato;  1-bis. dei beni e degli strumenti informatici o telematici che risultino essere stati in tutto o in parte utilizzati per la commissione dei reati di cui agli articoli 615-ter, 615-quater, 615-quinquies, 617-bis, 617-ter, 617-quater, 617-quinquies, 617-sexies, 635-bis, 635-ter, 635-quater, 635-quinquies, 640, secondo comma, numero 2-ter), 640-ter e 640-quinquies nonché dei beni che ne costituiscono il profitto o il prodotto ovvero di somme di denaro, beni o altre utilità di cui il colpevole ha la disponibilità per un valore corrispondente a tale profitto o prodotto, se non è possibile eseguire la confisca del profitto o del prodotto diretti;  2° delle cose, la fabbricazione, l'uso, il porto, la detenzione o l'alienazione delle quali costituisce reato, anche se non è stata pronunciata condanna.  Le disposizioni della prima parte e dei numeri 1 e 1-bis del capoverso precedente non si applicano se la cosa o il bene o lo strumento informatico o telematico appartiene a persona estranea al reato. La disposizione del numero 1-bis del capoverso precedente si applica anche nel caso di applicazione della pena su richiesta delle parti a norma dell'articolo 444 del codice di procedura penale.  La disposizione del numero 2° non si applica se la cosa appartiene a persona estranea al reato e la fabbricazione, l'uso, il porto, la detenzione o l'alienazione possono essere consentiti mediante autorizzazione amministrativa.",,Ai sensi dell'art. 240 c.p. Ã¨ sempre ordinata la confisca:,"dei beni che costituiscono il profitto del reato o il prodotto ovvero di somme di denaro, beni o altre utilitÃ di cui il colpevole ha la disponibilitÃ per un valore corrispondente a tale profitto o prodotto, se non Ã¨ possibile eseguire la confisca del profitto o del prodotto diretti",dei servizi e degli strumenti informatici o documentali che risultino essere stati in tutto o in parte utilizzati per lo spionaggio della procura,delle cose che costituiscono il movente del reato
c.p.,266,225.0,"Ai sensi dell'{PLH}Ã¨ punito, se il fatto non costituisce un piÃ¹ grave delitto, con la reclusione da uno a tre anni, chiunque:","(Istigazione di militari a disobbedire alle leggi)  Chiunque istiga i militari a disobbedire alle leggi o a violare il giuramento dato o i doveri della disciplina militare o altri doveri inerenti al proprio stato, ovvero fa a militari l'apologia di fatti contrari alle leggi, al giuramento, alla disciplina o ad altri doveri militari, è punito, per ciò solo, se il fatto non costituisce un più grave delitto, con la reclusione da uno a tre anni.  La pena è della reclusione da due a cinque anni se il fatto è commesso pubblicamente.  Le pene sono aumentate se il fatto è commesso in tempo di guerra.  Agli effetti della legge penale, il reato si considera avvenuto pubblicamente quando il fatto è commesso:  1° col mezzo della stampa, o con altro mezzo di propaganda;  2° in luogo pubblico o aperto al pubblico e in presenza di più persone;  3° in una riunione che, per il luogo in cui è tenuta, o per il numero degli intervenuti, o per lo scopo od oggetto di essa, abbia carattere di riunione non privata. 113",,"Ai sensi dell'art. 266 c.p. Ã¨ punito, se il fatto non costituisce un piÃ¹ grave delitto, con la reclusione da uno a tre anni, chiunque:",fa a militari l'apologia di fatti contrari al giuramento,istiga gli incaricati di pubblico servizio a violare i doveri della disciplina pubblica,istiga i funzionari pubblici a disobbedire ai regolamenti
c.p.,24,226.0,La pena della multa ex {PLH}consiste nel pagamento allo Stato di una somma:,"(Multa)  La pena della multa consiste nel pagamento allo Stato di una somma non inferiore a euro 50, né superiore a euro 50.000.  Per i delitti determinati da motivi di lucro, se la legge stabilisce soltanto la pena della reclusione, il giudice può aggiungere la multa da euro 50 a euro 25.000.",,La pena della multa ex art. 24 c.p. consiste nel pagamento allo Stato di una somma:,non inferiore a euro 50 nÃ© superiore a euro 50.000,non inferiore a euro 10 nÃ© superiore a euro 500.000,non inferiore a euro 25 nÃ© superiore a euro 20.000
c.p.,7,227.0,Ai sensi dell'{PLH}Ã¨ punito secondo la legge italiana il cittadino o lo straniero che commette in territorio estero quale dei seguenti reati?,"(Reati commessi all'estero)  È punito secondo la legge italiana il cittadino o lo straniero che commette in territorio estero taluno dei seguenti reati:  1° delitti contro la personalità dello Stato italiano;  2° delitti di contraffazione del sigillo dello Stato e di uso di tale sigillo contraffatto;  3° delitti di falsità in monete aventi corso legale nel territorio dello Stato, o in valori di bollo o in carte di pubblico credito italiano;  4° delitti commessi da pubblici ufficiali a servizio dello Stato, abusando dei poteri o violando i doveri inerenti alle loro funzioni;   5° ogni altro reato per il quale speciali disposizioni di legge o convenzioni internazionali stabiliscono l'applicabilità della legge penale italiana.",,Ai sensi dell'art. 7 c.p. Ã¨ punito secondo la legge italiana il cittadino o lo straniero che commette in territorio estero quale dei seguenti reati?,"Delitti commessi da pubblici ufficiali a servizio dello Stato, abusando dei poteri o violando i doveri inerenti alle loro funzioni",Delitti contro la personalitÃ del Presidente della Repubblica,Delitti di contraffazione della marchiatura dello Stato e di uso di tale elemento contraffatto
c.p.,19,228.0,Tra le pene accessorie per i delitti ex {PLH}troviamo:,(Pene accessorie: specie)  Le pene accessorie per i delitti sono:  1) l'interdizione dai pubblici uffici;  2) l'interdizione da una professione o da un'arte;  3) l'interdizione legale;  4) l'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese;  5) l'incapacità di contrattare con la pubblica amministrazione;  5-bis) l'estinzione del rapporto di impiego o di lavoro; (177)  6) la decadenza o la sospensione dall'esercizio della responsabilità genitoriale.  Le pene accessorie per le contravvenzioni sono:  1) la sospensione dall'esercizio di una professione o di un'arte;  2) la sospensione dagli uffici direttivi delle persone giuridiche e delle imprese.  Pena accessoria comune ai delitti e alle contravvenzioni è la pubblicazione della sentenza penale di condanna.  La legge penale determina gli altri casi in cui pene accessorie stabilite per i delitti sono comuni alle contravvenzioni.,,Tra le pene accessorie per i delitti ex art. 19 c.p. troviamo:,la decadenza o la sospensione dall'esercizio della responsabilitÃ genitoriale,l'estinzione del rapporto di impiego subordinato o somministrato,l'inabilitazione dagli uffici direttivi delle persone giuridiche e delle associazioni
c.p.,23,229.0,La pena della reclusione ex {PLH}si estende da:,"(Reclusione)  La pena della reclusione si estende da quindici giorni a ventiquattro anni, ed è scontata in uno degli stabilimenti a ciò destinati, con l'obbligo del lavoro e con l'isolamento notturno.  Il condannato alla reclusione, che ha scontato almeno un anno della pena, può essere ammesso al lavoro all'aperto.  Sono applicabili alla pena della reclusione le disposizioni degli ultimi due capoversi dell'articolo precedente.",,La pena della reclusione ex art. 23 c.p. si estende da:,"quindici giorni a ventiquattro anni, ed Ã¨ scontata in uno degli stabilimenti a ciÃ² destinati","venti giorni a ventiquattro anni, ed Ã¨ scontata in una delle case circondariali a ciÃ² destinati","dieci giorni a ventisei anni, ed Ã¨ scontata in una dei centri di detenzione a ciÃ² destinati"
c.p.,28,230.0,"L'interdizione perpetua dai pubblici uffici, salvo che dalla legge sia altrimenti disposto, di cosa priva il condannato ex {PLH}","(Interdizione dai pubblici uffici)  L'interdizione dai pubblici uffici è perpetua o temporanea.  L'interdizione perpetua dai pubblici uffici, salvo che dalla legge sia altrimenti disposto, priva il condannato:  1° del diritto di elettorato o di eleggibilità in qualsiasi comizio elettorale, e di ogni altro diritto politico;  2° di ogni pubblico ufficio, di ogni incarico non obbligatorio di pubblico servizio, e della qualità ad essi inerente di pubblico ufficiale o d'incaricato di pubblico servizio;  3° dell'ufficio di tutore o di curatore, anche provvisorio, e di ogni altro ufficio attinente alla tutela o alla cura;  4° dei gradi e delle dignità accademiche, dei titoli, delle decorazioni o di altre pubbliche insegne onorifiche;  5° degli stipendi, delle pensioni e degli assegni che siano a carico dello Stato o di un altro ente pubblico;(34) 41  6° di ogni diritto onorifico, inerente a qualunque degli uffici, servizi, gradi o titoli e delle qualità, dignità e decorazioni indicati nei numeri precedenti;  7° della capacità di assumere o di acquistare qualsiasi diritto, ufficio, servizio, qualità, grado, titolo, dignità, decorazione e insegna onorifica, indicati nei numeri precedenti.  L'interdizione temporanea priva il condannato della capacità di acquistare o di esercitare o di godere, durante l'interdizione, i predetti diritti, uffici, servizi, qualità, gradi, titoli e onorificenze.(34)  Essa non può avere una durata inferiore a un anno, né superiore a cinque.  La legge determina i casi nei quali l'interdizione dai pubblici uffici è limitata ad alcuni di questi.",,"L'interdizione perpetua dai pubblici uffici, salvo che dalla legge sia altrimenti disposto, di cosa priva il condannato ex art. 28 c.p.?","dei gradi e delle dignitÃ accademiche, dei titoli, delle decorazioni o di altre pubbliche insegne onorifiche","dell'ufficio di tutore o di curatore, purchÃ¨ definitivo, e di ogni altro ufficio attinente alla tutela o alla cura","di ogni riconoscimento onorifico, inerente a qualunque degli uffici, servizi, gradi o titoli e delle inerenti qualitÃ , araldiche e sigilli"
c.p.,29,231.0,L'interdizione dai pubblici uffici per la durata di anni cinque Ã¨ conseguente ex {PLH},"(Casi nei quali alla condanna consegue l'interdizione dai pubblici uffici)  La condanna all'ergastolo e la condanna alla reclusione per un tempo non inferiore a cinque anni importano l'interdizione perpetua del condannato dai pubblici uffici; e la condanna alla reclusione per un tempo non inferiore a tre anni importa l'interdizione dai pubblici uffici per la durata di anni cinque.  La dichiarazione di abitualità o di professionalità nel delitto, ovvero di tendenza a delinquere, importa l'interdizione perpetua dai pubblici uffici.",,L'interdizione dai pubblici uffici per la durata di anni cinque Ã¨ conseguente ex art. 29 c.p.:,alla condanna alla reclusione per un tempo non inferiore a tre anni,alla condanna alla reclusione per un tempo non inferiore a un anno,alla condanna alla reclusione per un tempo non inferiore a sei mesi
c.p.,31,232.0,"Ai sensi dell'{PLH}l'interdizione temporanea dai pubblici uffici o dalla professione, arte, industria, o dal commercio o mestiere Ã¨ conseguente:","(Condanna per delitti commessi con abuso di un pubblico ufficio o di una professione o di un'arte. Interdizione)  Ogni condanna per delitti commessi con l'abuso dei poteri, o con la violazione dei doveri inerenti a una pubblica funzione, o ad un pubblico servizio, o a taluno degli uffici indicati nel numero 3° dell'articolo 28, ovvero con l'abuso di una professione, arte, industria, o di un commercio o mestiere, o con la violazione dei doveri a essi inerenti, importa l'interdizione temporanea dai pubblici uffici o dalla professione, arte, industria, o dal commercio o mestiere.",,"Ai sensi dell'art. 31 c.p. l'interdizione temporanea dai pubblici uffici o dalla professione, arte, industria, o dal commercio o mestiere Ã¨ conseguente:",a ogni condanna per delitti commessi con la violazione dei doveri inerenti ad un pubblico servizio,a ogni condanna per delitti commessi con l'abuso di potestÃ ,"a ogni condanna per delitti commessi con la sostituzione di una professione, arte, industria"
c.p.,32,233.0,"L'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese priva il condannato ex {PLH}della capacitÃ di esercitare, durante l'interdizione, l'ufficio di:","(Interdizione legale)  Il condannato all'ergastolo è in stato d'interdizione legale.  La condanna all'ergastolo importa anche la decadenza dalla responsabilità genitoriale.  Il condannato alla reclusione per un tempo non inferiore a cinque anni è, durante la pena, in stato d'interdizione legale; la condanna produce altresì, durante la pena, la sospensione dall'esercizio della responsabilità genitoriale, salvo che il giudice disponga altrimenti.  Alla interdizione legale si applicano, per ciò che concerne la disponibilità, e l'amministrazione dei beni, nonché la rappresentanza negli atti ad esse relativi, le norme della legge civile sulla interdizione giudiziale.",,"L'interdizione dagli uffici direttivi delle persone giuridiche e delle imprese priva il condannato ex art. 32-bis c.p. della capacitÃ di esercitare, durante l'interdizione, l'ufficio di:",tutte le risposte indicate,liquidatore,direttore generale
